Locus.ID	lead.rsid	IndexSNP	max.ppa.snp	max.ppa	Tissue	gene_name	gwas_z	eqtl_z	CLPP
13_1	rs348330	chr1:229672955	chr1:229672955	0.99999	Thyroid	NUP133	-7.61194029850746	5.89115854641602	0.999901
13_1	rs348330	chr1:229672955	chr1:229672955	0.99999	Thyroid	HMGN2P19	-7.61194029850746	-4.27102080467457	0.901439
16_1	rs11680058	chr2:16574669	chr2:16574669	0.99433	Islet	MYCN	5.72549019607843	-1.91581773115319	0.0182507
18_1	rs1260326	chr2:27730940	chr2:27730940	0.897	Islet	NRBP1	-10.3076923076923	-1.70132060954653	0.0115015
18_1	rs1260326	chr2:27730940	chr2:27730940	0.897	Islet	FNDC4	-10.3076923076923	1.82511816205987	0.0139511
18_1	rs1260326	chr2:27730940	chr2:27730940	0.897	Islet	PREB	-10.3076923076923	2.41618709677846	0.0359352
18_1	rs1260326	chr2:27730940	chr2:27730940	0.897	Islet	ATRAID	-10.3076923076923	2.68749861886841	0.063206
18_1	rs1260326	chr2:27730940	chr2:27730940	0.897	Islet	ZNF513	-10.3076923076923	-2.44366548808748	0.0358402
18_1	rs1260326	chr2:27730940	chr2:27730940	0.897	Islet	RBKS	-10.3076923076923	1.68622900129508	0.0114547
18_1	rs1260326	chr2:27730940	chr2:27730940	0.897	Islet	C2orf16	-10.3076923076923	1.93486307857742	0.0164878
18_1	rs1260326	chr2:27730940	chr2:27730940	0.897	Islet	AC074117.10	-10.3076923076923	-2.89146442706604	0.0925913
18_1	rs1260326	chr2:27730940	chr2:27730940	0.897	Adipose_Subcutaneous	NRBP1	-10.3076923076923	-5.80995874309141	0.639148
18_1	rs1260326	chr2:27730940	chr2:27730940	0.897	Adrenal_Gland	KRTCAP3	-10.3076923076923	5.35806419163387	0.388663
18_1	rs1260326	chr2:27730940	chr2:27730940	0.897	Artery_Tibial	NRBP1	-10.3076923076923	-4.76628183983874	0.430876
18_1	rs1260326	chr2:27730940	chr2:27730940	0.897	Brain_Cerebellar_Hemisphere	AC074117.10	-10.3076923076923	4.96634777603557	0.84877
18_1	rs1260326	chr2:27730940	chr2:27730940	0.897	Brain_Cerebellum	AC074117.10	-10.3076923076923	5.80280485772939	0.658791
18_1	rs1260326	chr2:27730940	chr2:27730940	0.897	Cells_Transformed_fibroblasts	NRBP1	-10.3076923076923	-4.04852329780041	0.0797312
18_1	rs1260326	chr2:27730940	chr2:27730940	0.897	Cells_Transformed_fibroblasts	ATRAID	-10.3076923076923	3.96860737536292	0.384179
18_1	rs1260326	chr2:27730940	chr2:27730940	0.897	Cells_Transformed_fibroblasts	AC074117.10	-10.3076923076923	-5.4879035884522	0.500365
18_1	rs1260326	chr2:27730940	chr2:27730940	0.897	Colon_Transverse	NRBP1	-10.3076923076923	-4.30477639377516	0.599799
18_1	rs1260326	chr2:27730940	chr2:27730940	0.897	Muscle_Skeletal	SNX17	-10.3076923076923	-9.38950409244102	0.522173
18_1	rs1260326	chr2:27730940	chr2:27730940	0.897	Muscle_Skeletal	PPM1G	-10.3076923076923	-4.22874160366565	0.20549
18_1	rs1260326	chr2:27730940	chr2:27730940	0.897	Muscle_Skeletal	KRTCAP3	-10.3076923076923	3.98275583698576	0.188646
18_1	rs1260326	chr2:27730940	chr2:27730940	0.897	Nerve_Tibial	NRBP1	-10.3076923076923	-4.18411825413614	0.628664
18_1	rs1260326	chr2:27730940	chr2:27730940	0.897	Skin_Not_Sun_Exposed_Suprapubic	NRBP1	-10.3076923076923	-5.85814049115581	0.528631
18_1	rs1260326	chr2:27730940	chr2:27730940	0.897	Skin_Sun_Exposed_Lower_leg	NRBP1	-10.3076923076923	-6.46026444406993	0.0338121
18_1	rs1260326	chr2:27730940	chr2:27730940	0.897	Small_Intestine_Terminal_Ileum	NRBP1	-10.3076923076923	-5.16136643641466	0.599923
18_1	rs1260326	chr2:27730940	chr2:27730940	0.897	Thyroid	GCKR	-10.3076923076923	5.00133897488083	0.0519194
18_1	rs1260326	chr2:27730940	chr2:27730940	0.897	Thyroid	FNDC4	-10.3076923076923	7.41693278292702	0.275136
18_1	rs1260326	chr2:27730940	chr2:27730940	0.897	Whole_Blood	NRBP1	-10.3076923076923	-4.93749576951988	0.282263
24_1	rs11688682	chr2:121347612	chr2:121347612	0.98588	Adipose_Visceral_Omentum	INHBB	-5.87357954545454	-5.89259200228171	0.999793
24_1	rs11688682	chr2:121347612	chr2:121347612	0.98588	Breast_Mammary_Tissue	INHBB	-5.87357954545454	-4.44640677138439	0.94592
233_1	rs113414093	chr2:219859171	chr2:219859171	0.6336	Adipose_Subcutaneous	WNT6	5.0125	8.69612505109111	0.0160041
233_1	rs113414093	chr2:219859171	chr2:219859171	0.6336	Adipose_Visceral_Omentum	WNT6	5.0125	7.16133228095326	0.11319
233_1	rs113414093	chr2:219859171	chr2:219859171	0.6336	Breast_Mammary_Tissue	WNT6	5.0125	5.18193320034463	0.0221967
233_1	rs113414093	chr2:219859171	chr2:219859171	0.6336	Esophagus_Mucosa	WNT6	5.0125	5.2271761344572	0.0353293
233_1	rs113414093	chr2:219859171	chr2:219859171	0.6336	Esophagus_Muscularis	WNT6	5.0125	7.07177397078325	0.079835
233_1	rs113414093	chr2:219859171	chr2:219859171	0.6336	Skin_Sun_Exposed_Lower_leg	WNT6	5.0125	7.650704519386	0.0757309
33_1	rs4688760	chr3:49980596	chr3:49980596	0.68546	Islet	SEMA3F	6.27536231884058	-2.02236846872993	0.999144
33_1	rs4688760	chr3:49980596	chr3:49980596	0.68546	Islet	RBM5	6.27536231884058	2.7213773726515	0.999999
33_1	rs4688760	chr3:49980596	chr3:49980596	0.68546	Islet	CACNA2D2	6.27536231884058	-2.5192114494829	0.999955
33_1	rs4688760	chr3:49980596	chr3:49980596	0.68546	Islet	RASSF1	6.27536231884058	-1.5563789823601	0.0752778
33_1	rs4688760	chr3:49980596	chr3:49980596	0.68546	Islet	DOCK3	6.27536231884058	-1.72073291869824	0.941915
33_1	rs4688760	chr3:49980596	chr3:49980596	0.68546	Islet	CYB561D2	6.27536231884058	-1.98971082092186	0.982922
33_1	rs4688760	chr3:49980596	chr3:49980596	0.68546	Islet	CISH	6.27536231884058	-1.22229523645783	0.0225375
33_1	rs4688760	chr3:49980596	chr3:49980596	0.68546	Islet	NICN1	6.27536231884058	1.40400621120594	0.152721
33_1	rs4688760	chr3:49980596	chr3:49980596	0.68546	Islet	BSN	6.27536231884058	-1.41503238842207	0.117341
33_1	rs4688760	chr3:49980596	chr3:49980596	0.68546	Islet	MST1	6.27536231884058	1.77757063642802	0.187303
33_1	rs4688760	chr3:49980596	chr3:49980596	0.68546	Islet	HYAL3	6.27536231884058	-2.13427104542722	0.999827
33_1	rs4688760	chr3:49980596	chr3:49980596	0.68546	Islet	GPX1	6.27536231884058	-1.38013202008807	0.0531387
33_1	rs4688760	chr3:49980596	chr3:49980596	0.68546	Artery_Aorta	HYAL3	6.27536231884058	-4.84049746721609	0.994225
33_1	rs4688760	chr3:49980596	chr3:49980596	0.68546	Brain_Cerebellar_Hemisphere	HYAL3	6.27536231884058	-5.12132251855925	1
33_1	rs4688760	chr3:49980596	chr3:49980596	0.68546	Brain_Cerebellum	HYAL3	6.27536231884058	-5.88690993049414	0.142476
33_1	rs4688760	chr3:49980596	chr3:49980596	0.68546	Brain_Frontal_Cortex_BA9	HYAL3	6.27536231884058	-4.25496663125213	0.424057
33_1	rs4688760	chr3:49980596	chr3:49980596	0.68546	Brain_Nucleus_accumbens_basal_ganglia	HYAL3	6.27536231884058	-5.08236535640511	1
33_1	rs4688760	chr3:49980596	chr3:49980596	0.68546	Breast_Mammary_Tissue	HYAL3	6.27536231884058	-4.66744710618736	1
33_1	rs4688760	chr3:49980596	chr3:49980596	0.68546	Cells_Transformed_fibroblasts	HYAL3	6.27536231884058	-7.99366078388511	1
33_1	rs4688760	chr3:49980596	chr3:49980596	0.68546	Colon_Sigmoid	HYAL3	6.27536231884058	-5.7540913397272	1
33_1	rs4688760	chr3:49980596	chr3:49980596	0.68546	Colon_Transverse	HYAL3	6.27536231884058	-5.08458464786737	0.944407
33_1	rs4688760	chr3:49980596	chr3:49980596	0.68546	Esophagus_Gastroesophageal_Junction	HYAL3	6.27536231884058	-4.21333308971898	0.657226
33_1	rs4688760	chr3:49980596	chr3:49980596	0.68546	Esophagus_Muscularis	HYAL3	6.27536231884058	-6.38792996929254	0.998383
33_1	rs4688760	chr3:49980596	chr3:49980596	0.68546	Lung	HYAL3	6.27536231884058	-5.85508559721046	1
33_1	rs4688760	chr3:49980596	chr3:49980596	0.68546	Pancreas	HYAL3	6.27536231884058	-4.07574419358132	0.985993
33_1	rs4688760	chr3:49980596	chr3:49980596	0.68546	Skin_Sun_Exposed_Lower_leg	HYAL3	6.27536231884058	-5.66414903416845	0.932768
33_1	rs4688760	chr3:49980596	chr3:49980596	0.68546	Testis	HYAL3	6.27536231884058	-3.94598155467721	0.999978
33_1	rs4688760	chr3:49980596	chr3:49980596	0.68546	Thyroid	MON1A	6.27536231884058	3.7085192538981	0.997258
35_1	rs76263492	chr3:54828827	chr3:54828827	0.86082	Islet	ACTR8	5.84516129032258	2.96194135996128	0.122764
35_1	rs76263492	chr3:54828827	chr3:54828827	0.86082	Islet	WNT5A-AS1	5.84516129032258	-2.25075435499821	0.0320982
38_1	rs13085136	chr3:72865183	chr3:72865183	0.7107	Islet	LINC00870	-5.70542635658915	2.11902682504037	0.0173207
40_1	rs11708067	chr3:123065778	chr3:123065778	0.78853	Islet	SEMA5B	11.7763157894737	-2.01592040054628	0.0209996
40_1	rs11708067	chr3:123065778	chr3:123065778	0.78853	Islet	ADCY5	11.7763157894737	4.67219213039338	0.591122
40_1	rs11708067	chr3:123065778	chr3:123065778	0.78853	Islet	PARP14	11.7763157894737	-1.65126390107984	0.0121541
40_1	rs11708067	chr3:123065778	chr3:123065778	0.78853	Islet	PTPLB	11.7763157894737	-2.24051512455909	0.0305818
40_1	rs11708067	chr3:123065778	chr3:123065778	0.78853	Lung	ADCY5	11.7763157894737	4.23359912146677	0.404732
48_2	rs150111048	chr3:185514421	chr3:185514421	0.94075	Islet	IGF2BP2	-5.14339622641509	-2.22959111873634	0.0312183
48_2	rs150111048	chr3:185514421	chr3:185514421	0.94075	Islet	MAP3K13	-5.14339622641509	-1.57087795550802	0.0109886
48_2	rs150111048	chr3:185514421	chr3:185514421	0.94075	Islet	C3orf65	-5.14339622641509	1.84220479042194	0.0162073
48_2	rs150111048	chr3:185514421	chr3:185514421	0.94075	Islet	C3orf70	-5.14339622641509	-1.61656598162657	0.0116826
48_2	rs150111048	chr3:185514421	chr3:185514421	0.94075	Islet	RP11-573D15.8	-5.14339622641509	-1.58187985758348	0.01115
48_2	rs150111048	chr3:185514421	chr3:185514421	0.94075	Islet	RP11-573D15.9	-5.14339622641509	1.91550996136122	0.0181854
49_1	rs3887925	chr3:186665645	chr3:186665645	0.98541	Islet	ST6GAL1	9.69082125603865	5.8796221733814	0.999895
49_1	rs3887925	chr3:186665645	chr3:186665645	0.98541	Islet	RP11-573D15.8	9.69082125603865	2.44954206760433	0.0477056
49_1	rs3887925	chr3:186665645	chr3:186665645	0.98541	Islet	ETV5	9.69082125603865	-1.89940992162211	0.0177837
49_1	rs3887925	chr3:186665645	chr3:186665645	0.98541	Thyroid	ST6GAL1	9.69082125603865	5.51600836717116	0.999387
52_1	rs56337234	chr4:1784403	chr4:1784403	0.72322	Islet	FGFR3	-8.59090909090909	-3.19964699854979	0.141441
52_1	rs56337234	chr4:1784403	chr4:1784403	0.72322	Islet	FGFRL1	-8.59090909090909	-1.98238828272425	0.0192131
52_1	rs56337234	chr4:1784403	chr4:1784403	0.72322	Islet	SPON2	-8.59090909090909	-1.70395871743695	0.0129528
52_1	rs56337234	chr4:1784403	chr4:1784403	0.72322	Lung	TMEM129	-8.59090909090909	4.89188443832943	0.183173
52_1	rs56337234	chr4:1784403	chr4:1784403	0.72322	Nerve_Tibial	TMEM129	-8.59090909090909	4.36645288354712	0.0579057
52_1	rs56337234	chr4:1784403	chr4:1784403	0.72322	Skin_Sun_Exposed_Lower_leg	TMEM129	-8.59090909090909	4.17461668287659	0.0192945
52_1	rs56337234	chr4:1784403	chr4:1784403	0.72322	Thyroid	TMEM129	-8.59090909090909	5.39175065871313	0.0156965
52_1	rs56337234	chr4:1784403	chr4:1784403	0.72322	Whole_Blood	AC016773.1	-8.59090909090909	4.43615788637874	0.0159622
53_1	rs362307	chr4:3241845	chr4:3241845	0.94618	Islet	MXD4	6.1404958677686	1.9880279398348	0.0205321
53_1	rs362307	chr4:3241845	chr4:3241845	0.94618	Islet	TNIP2	6.1404958677686	2.08521708215382	0.0242066
53_1	rs362307	chr4:3241845	chr4:3241845	0.94618	Islet	MSANTD1	6.1404958677686	1.6439719332837	0.0121696
53_1	rs362307	chr4:3241845	chr4:3241845	0.94618	Islet	RP11-503N18.5	6.1404958677686	-1.92960660346802	0.018663
53_1	rs362307	chr4:3241845	chr4:3241845	0.94618	Islet	FAM86EP	6.1404958677686	-1.496259671522	0.0100123
81_1	rs34298980	chr6:40409243	chr6:40409243	0.99055	Islet	APOBEC2	6.12121212121212	1.55290848253629	0.0107674
82_2	rs11967262	chr6:43760327	chr6:43760327	0.63387	Islet	CUL7	-6.13302034428795	1.91387679537491	0.0177355
82_2	rs11967262	chr6:43760327	chr6:43760327	0.63387	Islet	HSP90AB1	-6.13302034428795	2.07017777211485	0.0229579
82_2	rs11967262	chr6:43760327	chr6:43760327	0.63387	Islet	PPP2R5D	-6.13302034428795	-2.37874687923203	0.0396132
82_2	rs11967262	chr6:43760327	chr6:43760327	0.63387	Islet	PTK7	-6.13302034428795	-1.57836840179355	0.0110514
82_2	rs11967262	chr6:43760327	chr6:43760327	0.63387	Islet	CUL9	-6.13302034428795	2.13171722399627	0.0253174
82_2	rs11967262	chr6:43760327	chr6:43760327	0.63387	Islet	RRP36	-6.13302034428795	-2.23045125652473	0.0299767
82_2	rs11967262	chr6:43760327	chr6:43760327	0.63387	Islet	PEX6	-6.13302034428795	1.5048680655039	0.0100516
82_2	rs11967262	chr6:43760327	chr6:43760327	0.63387	Islet	TTBK1	-6.13302034428795	2.11361457467968	0.0246129
82_2	rs11967262	chr6:43760327	chr6:43760327	0.63387	Islet	GTPBP2	-6.13302034428795	2.01154615770712	0.0209925
91_2	rs17168486	chr7:14898282	chr7:14898282	0.57723	Islet	DGKB	8.47831325301205	3.47772576393851	0.184816
91_2	rs17168486	chr7:14898282	chr7:14898282	0.57723	Cells_Transformed_fibroblasts	DGKB	8.47831325301205	-6.04990923346614	0.0536164
94_1	rs917195	chr7:30728452	chr7:30728452	0.96192	Islet	PLEKHA8	-6.5974025974026	1.61833695814502	0.0117069
94_1	rs917195	chr7:30728452	chr7:30728452	0.96192	Artery_Tibial	AC005154.8	-6.5974025974026	-4.53255528710301	0.23009
95_1	rs878521	chr7:44255643	chr7:44255643	0.9844	Islet	BLVRA	7.35365853658537	-1.50685432965663	0.0101476
95_1	rs878521	chr7:44255643	chr7:44255643	0.9844	Islet	POLD2	7.35365853658537	1.55695992667755	0.010825
95_1	rs878521	chr7:44255643	chr7:44255643	0.9844	Islet	TMED4	7.35365853658537	1.62207635618561	0.0118096
95_1	rs878521	chr7:44255643	chr7:44255643	0.9844	Islet	AC004985.12	7.35365853658537	-1.98939609804001	0.0205793
95_1	rs878521	chr7:44255643	chr7:44255643	0.9844	Colon_Transverse	PPIA	7.35365853658537	4.3120933506837	0.913984
95_1	rs878521	chr7:44255643	chr7:44255643	0.9844	Thyroid	GCK	7.35365853658537	4.42994127997786	0.942757
106_1	rs13262861	chr8:41508577	chr8:41508577	0.97279	Islet	SFRP1	-6.9379042690815	-1.53035856201515	0.0104572
106_1	rs13262861	chr8:41508577	chr8:41508577	0.97279	Islet	GINS4	-6.9379042690815	-1.59438870799743	0.0113756
106_1	rs13262861	chr8:41508577	chr8:41508577	0.97279	Islet	NKX6-3	-6.9379042690815	4.00811352035635	0.783713
106_1	rs13262861	chr8:41508577	chr8:41508577	0.97279	Adipose_Subcutaneous	ANK1	-6.9379042690815	-4.93079444141784	0.991803
106_1	rs13262861	chr8:41508577	chr8:41508577	0.97279	Heart_Atrial_Appendage	ANK1	-6.9379042690815	-5.38068553097959	0.998853
106_1	rs13262861	chr8:41508577	chr8:41508577	0.97279	Muscle_Skeletal	ANK1	-6.9379042690815	-4.64337054242067	0.974049
114_1	rs10974438	chr9:4291928	chr9:4291928	0.97343	Islet	JAK2	-7.68693009118541	-1.58769643313928	0.0112922
114_1	rs10974438	chr9:4291928	chr9:4291928	0.97343	Islet	CDC37L1	-7.68693009118541	-1.98624073268998	0.0205219
114_1	rs10974438	chr9:4291928	chr9:4291928	0.97343	Islet	IGHEP2	-7.68693009118541	-1.55186721066453	0.0107244
116_1	rs7867635	chr9:20241069	chr9:20241069	0.65333	Islet	RPS6	-5.34307692307692	-2.10486685036614	0.0204206
119_1	rs12001437	chr9:34074476	chr9:34074476	0.91738	Islet	BAG1	-6.30769230769231	1.6472128669948	0.0122245
119_1	rs12001437	chr9:34074476	chr9:34074476	0.91738	Islet	ENHO	-6.30769230769231	-2.16967599248345	0.0280929
119_1	rs12001437	chr9:34074476	chr9:34074476	0.91738	Islet	C9orf131	-6.30769230769231	-1.55577754298472	0.0108081
119_1	rs12001437	chr9:34074476	chr9:34074476	0.91738	Islet	SERPINH1P1	-6.30769230769231	-2.32093040968029	0.0371541
119_1	rs12001437	chr9:34074476	chr9:34074476	0.91738	Islet	RP11-195F19.9	-6.30769230769231	1.94611855682003	0.0191684
119_1	rs12001437	chr9:34074476	chr9:34074476	0.91738	Cells_Transformed_fibroblasts	UBE2R2	-6.30769230769231	4.63055031091218	0.972728
119_1	rs12001437	chr9:34074476	chr9:34074476	0.91738	Esophagus_Muscularis	KIF24	-6.30769230769231	-4.3589352335757	0.926621
119_1	rs12001437	chr9:34074476	chr9:34074476	0.91738	Muscle_Skeletal	UBAP2	-6.30769230769231	-4.10949667002282	0.837187
119_1	rs12001437	chr9:34074476	chr9:34074476	0.91738	Muscle_Skeletal	NUDT2	-6.30769230769231	-4.29817888066257	0.909882
122_1	rs2796441	chr9:84308948	chr9:84308948	0.82394	Islet	TLE1	-10.1230769230769	-2.05724359506754	0.0227891
122_1	rs2796441	chr9:84308948	chr9:84308948	0.82394	Colon_Sigmoid	RP11-154D17.1	-10.1230769230769	4.69876472108726	0.495115
126_1	rs11257655	chr10:12307894	chr10:12307894	1	Islet	CAMK1D	11.8815789473684	5.11530584256777	0.996258
126_1	rs11257655	chr10:12307894	chr10:12307894	1	Islet	PROSER2-AS1	11.8815789473684	1.71052518688343	0.0133661
126_1	rs11257655	chr10:12307894	chr10:12307894	1	Heart_Atrial_Appendage	CAMK1D	11.8815789473684	7.48916461558903	1
126_1	rs11257655	chr10:12307894	chr10:12307894	1	Heart_Left_Ventricle	CAMK1D	11.8815789473684	8.488532517812	1
126_1	rs11257655	chr10:12307894	chr10:12307894	1	Lung	CAMK1D	11.8815789473684	11.5517937534796	1
126_1	rs11257655	chr10:12307894	chr10:12307894	1	Whole_Blood	CAMK1D	11.8815789473684	7.97885504995557	1
127_2	rs177045	chr10:71321279	chr10:71321279	0.85536	Islet	AIFM2	-8.61671924290221	-1.93483049195806	0.0185581
127_2	rs177045	chr10:71321279	chr10:71321279	0.85536	Islet	TSPAN15	-8.61671924290221	-3.03543875346339	0.142087
127_2	rs177045	chr10:71321279	chr10:71321279	0.85536	Islet	H2AFY2	-8.61671924290221	-1.55002298203607	0.0106751
127_2	rs177045	chr10:71321279	chr10:71321279	0.85536	Islet	SUPV3L1	-8.61671924290221	1.79045995104502	0.0149024
127_2	rs177045	chr10:71321279	chr10:71321279	0.85536	Islet	HKDC1	-8.61671924290221	1.51496210916091	0.0102113
127_2	rs177045	chr10:71321279	chr10:71321279	0.85536	Islet	DDX21	-8.61671924290221	1.65655686166949	0.0122981
127_2	rs177045	chr10:71321279	chr10:71321279	0.85536	Islet	AC022532.1	-8.61671924290221	2.96882992536682	0.124175
127_2	rs177045	chr10:71321279	chr10:71321279	0.85536	Islet	KIAA1279	-8.61671924290221	-1.60938583807438	0.0115358
130_4	rs7918400	chr10:114703136	chr10:114703136	0.7123	Islet	DCLRE1A	7.94361525704809	-1.6631485677068	0.0109229
130_4	rs7918400	chr10:114703136	chr10:114703136	0.7123	Islet	RP11-57H14.2	7.94361525704809	-4.77812883985489	0.0479014
130_4	rs7918400	chr10:114703136	chr10:114703136	0.7123	Uterus	RP11-57H14.2	7.94361525704809	-5.28496500414309	0.026107
130_8	rs34855922	chr10:114871594	chr10:114871594	0.78336	Islet	RP11-57H14.4	6.89245810055866	2.11221164675802	0.0254441
130_8	rs34855922	chr10:114871594	chr10:114871594	0.78336	Islet	RP11-324O2.6	6.89245810055866	3.01579083701036	0.155661
239_1	rs72631105	chr10:122915345	chr10:122915345	0.80646	Islet	RP11-572P18.1	5.40243902439024	-1.97738702034275	0.0168431
132_3	rs11042596	chr11:2118860	chr11:2118860	0.71602	Islet	C11orf21	-5.62043795620438	1.69889377570727	0.0126938
132_3	rs11042596	chr11:2118860	chr11:2118860	0.71602	Islet	MRPL23-AS1	-5.62043795620438	-1.5376181786617	0.0101142
133_4	rs80102379	chr11:2634177	chr11:2634177	0.67619	Skin_Not_Sun_Exposed_Suprapubic	TSSC4	-5.33218522770762	4.40327926127445	0.606157
133_6	rs231361	chr11:2691500	chr11:2691500	1	Islet	C11orf21	10.3190607734807	-2.01810718070657	0.0215893
133_6	rs231361	chr11:2691500	chr11:2691500	1	Islet	SYT8	10.3190607734807	-1.65370876939761	0.0123352
133_6	rs231361	chr11:2691500	chr11:2691500	1	Islet	ART5	10.3190607734807	-1.75868339096488	0.0143365
133_6	rs231361	chr11:2691500	chr11:2691500	1	Islet	AC129929.5	10.3190607734807	2.27338150008195	0.0339695
133_6	rs231361	chr11:2691500	chr11:2691500	1	Islet	RP5-1173A5.1	10.3190607734807	-2.27891363049138	0.0343228
133_1	rs2237895	chr11:2857194	chr11:2857194	0.99944	Islet	C11orf21	-15.1531690140845	-3.13575899791773	0.203674
133_1	rs2237895	chr11:2857194	chr11:2857194	0.99944	Islet	CDKN1C	-15.1531690140845	-1.88901887196159	0.0174935
133_1	rs2237895	chr11:2857194	chr11:2857194	0.99944	Islet	AC129929.5	-15.1531690140845	2.39757948153022	0.0430675
133_1	rs2237895	chr11:2857194	chr11:2857194	0.99944	Islet	AC090587.2	-15.1531690140845	2.9335302456666	0.131749
133_1	rs2237895	chr11:2857194	chr11:2857194	0.99944	Islet	RP5-1173A5.1	-15.1531690140845	-2.41175375301767	0.0442785
133_1	rs2237895	chr11:2857194	chr11:2857194	0.99944	Islet	SLC22A18AS	-15.1531690140845	-2.0487568202147	0.0227381
136_1	rs145678014	chr11:32927778	chr11:32927778	0.63603	Adipose_Subcutaneous	EIF3M	-6.36555142503098	4.30877249889343	0.435905
