Signal (i.e. lead SNP rsid),Gene Symbol,Number of SNPs in 99% credible set,Maximum credible set PPA,Coding Score,Dissimilarity (difference between top two TOA scores),Sum of squared TOA score differences (SSD),Islet TOA score,Muscle TOA score,Adipose TOA score,Liver TOA score,Unclassified TOA score
rs56376556,FBXL13,217,0.30141,0.00111390046073601,0.00240000000000001,0.00384712,0.2537,0.2691,0.2667,0.1931,0.0074
rs62357230,ITGA1,1480,0.1214,0.000946056405635508,0.0564,0.10081805,0.382,0.0393,0.0647,0.0655,0.4384
rs3115960,BCAR1,1088,0.040349,0.000940321588413975,0.0466,0.00408483,0.249,0.1838,0.1675,0.1873,0.2024
rs11688931,GLI2,2400,0.086532,0.000639611016325584,0.00689999999999996,0.05003105,0.0504,0.2714,0.3121,0.3052,0.0509
rs12578639,KSR2,993,0.073426,0.00057921058150506,0.0211,0.0034469,0.2643,0.187,0.2854,0.223,0.0304
rs112595469,ETS1,1298,0.098869,0.000565328785683574,0.0242,0.00910886,0.2586,0.1202,0.1717,0.1567,0.2828
rs61676547,BPTF,143,0.046994,0.000358513897573065,0.022,0.000813300000000001,0.2726,0.2506,0.2258,0.2415,0
rs112498319,RREB1,798,0.19443,0.000332161557631343,0.0776,0.02798429,0.1178,0.3087,0.3863,0.17,0.0072
rs117483894,TCF12,188,0.013598,0.000175881288510771,0.0276,0.00571645,0.2751,0.3027,0.1768,0.2338,0.0017
rs1317617,ZMIZ1,1583,0.13842,0.000163864100538819,0.0268,0.0101762,0.293,0.205,0.1636,0.3198,0.0085
rs1516728,IGF2BP2,979,0.24839,7.60736520145202e-05,0.0241,0.00876765,0.2614,0.13,0.1946,0.1185,0.2855
rs73224262,HNF1A,116,0.45404,4.29002336685047e-05,0.00689999999999996,0.0012929,0.2263,0.2288,0.264,0.2709,0
rs78025551,TCF7L2,339,0.39913,3.19536241886402e-05,0.0345,0.01110197,0.3234,0.1895,0.2889,0.1839,0.0043
rs1641523,ATP1B2,7,0.32117,0,0.0708,0.18593284,0.5206,0.0252,0,0.4498,0
rs10893829,ETS1,22,0.11648,0,0.0795,0.14539565,0.5013,0,0.0526,0.4218,0.0178
rs616279,MIR3668,106,0.11392,0,0.0931999999999999,0.07289733,0.4105,0.3173,0.2526,0.0076,0.002
rs114526150,PROX1,69,0.044449,0,0.0246,0.08383081,0.4009,0.1626,0,0.4255,0.0015
rs60276348,ACE,27,0.30993,0,0.0409,0.03050547,0.3711,0.1657,0.1236,0.3302,0
rs2249105,CEP68,3,0.38944,0,0.0158,0.03983573,0.3683,0.1192,0.3525,0.1572,0
rs1708302,JAZF1,6,0.37109,0,0.0537,0.02638058,0.3653,0.3116,0.2208,0.0973,0
rs7115753,CRY2,29,0.22945,0,0.0641,0.0217983,0.3632,0.1654,0.1661,0.2991,0
rs78020297,FTO,7,0.21335,0,0.0311,0.0157991,0.3392,0.3081,0.2031,0.1414,0
rs10097617,TP53INP1,14,0.19771,0,0.0999,0.01105219,0.3319,0.232,0.1976,0.2303,0
rs279744,ARL15,97,0.10889,0,0.00390000000000001,0.03565682,0.3314,0.0645,0.3353,0.2014,0.0574
rs17802463,DTNB,44,0.071596,0,0.0691,0.00901866,0.3276,0.2322,0.1726,0.2585,0
rs72926932,TCF4,6,0.4443,0,0.0623,0.0087263,0.3254,0.2631,0.2382,0.1732,0
rs77136196,HMGA1,53,0.098044,0,0.0154,0.03244318,0.323,0.1463,0.1178,0.0976,0.3076
rs329122,PHF15,9,0.39585,0,0.0745,0.00822075,0.3207,0.2385,0.1874,0.2462,0
rs80147536,THADA,155,0.073025,0,0.0597,0.00494054,0.3108,0.1992,0.229,0.2511,0
rs7645517,ST6GAL1,9,0.28552,0,0.0614,0.00412077,0.3037,0.2423,0.2239,0.2204,0
rs10195252,GRB14-COBLL1,5,0.3646,0,0.0431,0.01869666,0.3025,0.1206,0.3456,0.2237,0
rs184509201,TCF7L2,9,0.18589,0,0.0298,0.01370712,0.3017,0.1565,0.2719,0.2697,0
rs1005752,HMG20A,24,0.075149,0,0.0224,0.00681157,0.2868,0.3092,0.2163,0.1797,0
rs17122772,SLC7A7,5,0.26872,0,0.0287,0.00383189,0.2853,0.1968,0.2566,0.2514,0
rs3774723,PSMD6,20,0.2794,0,0.0407,0.00179609,0.2843,0.2436,0.2318,0.2312,0
rs11202627,PTEN,122,0.043284,0,0.0526,0.01805428,0.2792,0.174,0.141,0.0642,0.3318
rs1421085,FTO,6,0.27893,0,0.0323,0.00466094,0.2753,0.3076,0.2194,0.1972,0
rs75253922,INSR,34,0.07734,0,0.0661,0.01063178,0.2715,0.1924,0.3376,0.19,0
rs3772071,RBMS1,30,0.20879,0,9.9999999999989e-05,0.0021925,0.2713,0.2714,0.223,0.2245,0
rs2280141,PLEKHA1,25,0.059074,0,0.0203,0.000565500000000001,0.2705,0.2341,0.2387,0.2502,0
rs67232546,ETS1,6,0.29701,0,0.0115,0.00180386,0.2676,0.2105,0.2791,0.2345,0
rs2268078,RALY,116,0.036583,0,0.0515,0.00734945,0.2659,0.1798,0.139,0.1914,0.2144
rs4932265,AP3S2,46,0.090833,0,0.00380000000000003,6.63299999999999e-05,0.2436,0.2544,0.2419,0.2506,0
rs1783541,MAP3K11,12,0.16088,0,0.00230000000000002,0.00320875,0.2123,0.2812,0.2789,0.2234,0
rs7022807,HAUS6,47,0.077856,0,0.0267,0.00138779,0.2071,0.1974,0.2579,0.2312,0.0967
rs58730668,ACSL1,46,0.03579,0,0.0792,0.00727009,0.2025,0.2337,0.2386,0.3178,0
rs862320,NFAT5,48,0.14742,0,0.0192,0.00314749,0.1947,0.2461,0.2653,0.183,0.1014
rs1412830,CDKN2A-B,66,0.075082,0,0.0355,0.03742697,0.1724,0.2576,0.2964,0.0031,0.2609
rs4977213,BOP1,13,0.15679,0,0.0491,0.03135011,0.1066,0.3281,0.279,0.2767,0
rs718314,ITPR2,22,0.059508,0,0.0985,0.1176163,0.0858,0.5014,0.4029,0,0
rs2982521,MIR3668,14,0.21625,0,0.00630000000000003,0.18395446,0,0.4705,0.4768,0.0439,0
rs4709746,QKI,7,0.37112,0,0.0129,0.19731409,0,0.4756,0.4885,0.0328,0
rs17836088,NRXN3,16,0.1218,0,0.0919,0.15027322,0,0.431,0,0.0461,0.5229
