symbol	Locus.ID	lead.rsid	IndexSNP	maxppa.snp	coding	max.ppa	islet	muscle	adipose	liver	assigned_20	egenes	eqtl_pval	CLPP
PLEKHA1	131_1	rs2280141	chr10:124193181	chr10:124193181	0	0.0591	0.271	0.234	0.239	0.25	shared	PLEKHA1	1.45e-05	0.0228
CELF1	140_1	rs7124681	chr11:47529947	chr11:47529947	0	0.0681	0.224	0.184	0.252	0.33	shared	ACP2	1.74e-05	0.0496
MAP3K11	141_1	rs1783541	chr11:65294799	chr11:65294799	0	0.161	0.212	0.281	0.279	0.223	shared	AP000769.1 (Muscle),LTBP3 (Adipose),LTBP3 (Muscle),SSSCA1-AS1 (Muscle),RNASEH2C (Muscle),MALAT1 (Muscle)	2.13e-06,9.59e-06,9.76e-06,2.54e-05,4.25e-05,6.01e-05	0.0165,0.0388,0.0189,0.0826,0.0268,0.0235
CENTD2-ARAP1	143_1	rs77464186	chr11:72460398	chr11:72460398	0	0.252	0.396	0.169	0.147	0.279	islet	STARD10	2.01e-11	0.0599
MTNR1B	144_1	rs10830963	chr11:92708710	chr11:92708710	0	1	1	0	0	0	islet	MTNR1B	1.04e-05	0.105
CCND2	146_1	rs76895963	chr12:4384844	chr12:4384844	0	1	0.526	0	0.473	0	shared	CCND2	4.02e-07	0.997
KSR2	155_2	rs12578639	chr12:118489636	chr12:118489636	0	0.0734	0.264	0.187	0.285	0.223	shared	WSB2	2.97e-13	0.0278
HNF1A	156_3	rs73226260	chr12:121380541	chr12:121413171	0	0.143	0.366	0	0.0029	0.622	liver	HNF1A-AS1	3.47e-06	0.0223
PTPN9	181_1	rs13737	chr15:75932129	chr15:75932129	1	0.189	0.274	0.241	0.229	0.247	shared	IMP3 (Islet),IMP3 (Muscle),UBE2Q2 (Muscle)	6.44e-08,2.48e-05,4.09e-05	0.0116,0.0931,0.0874
ITFG3	185_1	rs6600191	chr16:295795	chr16:295795	0	0.251	0.272	0.26	0.221	0.239	shared	RGS11,ARHGDIG	6.39e-10,2.02e-06	0.0253,0.0121
CLUAP1	186_1	rs3751837	chr16:3583173	chr16:3583173	0	0.903	0.287	0.249	0.236	0.217	shared	CLUAP1 (Muscle),CLUAP1 (Adipose),NLRC3 (Muscle),TRAP1 (Muscle),TRAP1 (Adipose),CLUAP1 (Islet)	1.27e-23,9.33e-21,8.68e-17,1.6e-05,3.24e-05,6.47e-05	0.0191,0.0103,0.066,0.0116,0.411,0.0147
ATP2A1	187_1	rs8046545	chr16:28915217	chr16:28915217	0	0.153	0.174	0.426	0.167	0.223	muscle	RP11-1348G14.4,EIF3C,LAT	5.69e-08,5.71e-08,1.31e-06	0.126,0.3,0.0887
NFAT5	190_1	rs862320	chr16:69651866	chr16:69651866	0	0.147	0.195	0.246	0.265	0.183	shared	RP11-419C5.2 (Adipose),CLEC18A (Adipose),NOB1 (Muscle),RP11-419C5.2 (Liver)	8.38e-13,5.77e-08,6.44e-07,1.94e-06	0.0971,0.103,0.0539,0.0457
BPTF	203_1	rs61676547	chr17:65892507	chr17:65892507	0	0.047	0.273	0.251	0.226	0.241	shared	SH3GL1P3	7.92e-06	0.383
FARSA	214_1	rs3111316	chr19:13038415	chr19:13038415	0	0.323	0.286	0.25	0.208	0.246	shared	DNASE2,CALR	3.67e-11,9.41e-06	0.0118,0.108
CEBPB	224_1	rs11699802	chr20:48832135	chr20:48832135	0	0.221	0	0.27	0.465	0.264	adipose	RP11-112L6.4	3.08e-07	0.0212
ZBTB46	243_2	rs6011155	chr20:62450664	chr20:62450664	0	0.0632	0.186	0.264	0.287	0.249	shared	ZBTB46	3.6e-07	0.0583
TCEA2	243_1	rs59944054	chr20:62693175	chr20:62693175	0	0.146	0.338	0.162	0.146	0.323	shared	RGS19	4.45e-06	0.014
EP300	229_1	rs5758223	chr22:41489920	chr22:41489920	0	0.0365	0.266	0.238	0.238	0.248	shared	CCDC134,MEI1	9e-06,4e-05	0.0672,0.0388
