symbol	Locus.ID	lead.rsid	index.snp	max.ppa.snp	max.ppa	index.snp.coding	islet	muscle	adipose	liver	assigned_00	assigned_20	assigned_50	assigned_80
LPP	50_1	rs4686471	chr3:187740899	chr3:187740899	0.39684	0	0.5795	0	0	0.4205	islet	islet	islet	unclassified
PCGF3	51_2	rs111827885	chr4:616608	chr4:616608	0.46448	0	0.1494	0.0733	0.1175	0.1167	shared	unclassified	unclassified	unclassified
PCGF3	51_3	rs35654957	chr4:1010077	chr4:1195966	0.22195	0	0.2284	0.2153	0.3483	0.1856	adipose	adipose	unclassified	unclassified
PCGF3	51_1	rs1531583	chr4:744972	chr4:744972	0.13479	0	0.2606	0.2552	0.2431	0.2403	shared	shared	unclassified	unclassified
MAEA	52_1	rs56337234	chr4:1784403	chr4:1784403	0.72322	0	0.58	0	0	0.4201	islet	islet	islet	unclassified
HTT	53_1	rs362307	chr4:3241845	chr4:3241845	0.94618	0	0.2932	0.2978	0.2339	0.1654	shared	shared	unclassified	unclassified
WFS1	54_2	rs1801212	chr4:6302519	chr4:6302519	0.14372	1	0.3514	0.1681	0.1906	0.1601	islet	islet	unclassified	unclassified
WFS1	54_1	rs10937721	chr4:6306763	chr4:6306763	0.047905	0	0.4001	0.1552	0.1593	0.276	islet	islet	unclassified	unclassified
LCORL	55_1	rs12640250	chr4:17792869	chr4:17792869	0.14766	0	0.2592	0.1448	0.1126	0.4089	liver	liver	unclassified	unclassified
GNPDA2	56_1	rs10938398	chr4:45186139	chr4:45186139	0.30269	0	0	0	0.3027	0	adipose	adipose	unclassified	unclassified
USP46	57_1	rs2102278	chr4:52818664	chr4:52818664	0.082416	0	0.1686	0.0691	0.0877	0.163	shared	unclassified	unclassified	unclassified
USP46	57_2	rs114447556	chr4:53207093	chr4:53207093	0.40387	0	0.0176	0.0377	0.1264	0.0213	shared	unclassified	unclassified	unclassified
SCD5	58_1	rs12642790	chr4:83578271	chr4:83578271	0.17671	0	0.9803	9e-04	0.0084	8e-04	islet	islet	islet	islet
FAM13A	59_1	rs1903002	chr4:89740894	chr4:89740894	0.073914	0	0.2275	0.1926	0.3693	0.2015	adipose	adipose	unclassified	unclassified
SMARCAD1	60_1	rs6821438	chr4:95091911	chr4:95091911	0.032553	0	0.0089	0.0102	0.0103	0.0085	shared	unclassified	unclassified	unclassified
SLC9B1	61_1	rs1580278	chr4:104140848	chr4:104140848	0.18616	0	0.1366	0.0898	0.072	0.1417	shared	unclassified	unclassified	unclassified
PABPC4L	62_1	rs1296328	chr4:137083193	chr4:137083193	0.29351	0	0	0	0	0	unclassified	unclassified	unclassified	unclassified
TMEM154	63_1	rs7669833	chr4:153513369	chr4:153513369	0.14705	0	0.7402	0.0908	0.0671	0.0928	islet	islet	islet	unclassified
PDGFC	64_1	rs28819812	chr4:157652753	chr4:157652753	0.048865	0	8e-04	0.2003	0.1975	0.1562	shared	shared	unclassified	unclassified
ACSL1	65_1	rs58730668	chr4:185717759	chr4:185717759	0.03579	0	0.2025	0.2337	0.2386	0.3178	shared	shared	unclassified	unclassified
ANKH	66_4	rs6885132	chr5:14768092	chr5:14768092	0.68236	0	0.3781	0.1464	0.231	0.2345	islet	islet	unclassified	unclassified
ANKH	66_2	rs3845281	chr5:14610134	chr5:14610134	0.16371	0	0.6702	0.0407	0.1676	0.1129	islet	islet	islet	unclassified
ANKH	66_3	rs17250977	chr5:14753745	chr5:14753745	0.83482	0	0.229	0.156	0.3221	0.2929	shared	shared	unclassified	unclassified
ANKH	66_1	rs146886108	chr5:14751305	chr5:14751305	0.77033	1	0.2689	0.2698	0.2519	0.209	shared	shared	unclassified	unclassified
ANKH	66_5	rs76549217	chr5:14768766	chr5:14768766	0.99977	0	0.4506	0.1126	0.288	0.1486	islet	islet	unclassified	unclassified
MRPS30	67_2	rs62368490	chr5:44534364	chr5:44534364	0.48674	0	0.0081	0.0079	0.0076	0.0035	shared	unclassified	unclassified	unclassified
MRPS30	67_1	rs6884702	chr5:44682589	chr5:44945090	0.021536	0	0.1853	0.1128	0.0186	0.048	shared	unclassified	unclassified	unclassified
ITGA1	68_2	rs17261179	chr5:51791225	chr5:51791225	0.23736	0	0.9461	0	0	0	islet	islet	islet	islet
ITGA1	68_3	rs62357230	chr5:52315682	chr5:52315682	0.1214	0	0.382	0.0393	0.0647	0.0655	islet	islet	unclassified	unclassified
ITGA1	68_1	rs3811978	chr5:52100489	chr5:52100489	0.44014	0	0.1907	0.3817	0.181	0.2372	muscle	muscle	unclassified	unclassified
ARL15	69_2	rs62370480	chr5:52774510	chr5:52774510	0.20266	0	0.1243	0.2848	0.0684	0.3849	liver	liver	unclassified	unclassified
ARL15	69_1	rs702634	chr5:53271420	chr5:53271420	0.47597	0	0	0	0	0.9911	liver	liver	liver	liver
ARL15	69_3	rs279744	chr5:53412620	chr5:53412620	0.10889	0	0.3314	0.0645	0.3353	0.2014	shared	shared	unclassified	unclassified
ANKRD55	70_1	rs465002	chr5:55808475	chr5:55808475	0.16938	0	0	0.1756	0.5069	0.3133	adipose	adipose	adipose	unclassified
ANKRD55	70_2	rs2431115	chr5:55848669	chr5:55848669	0.24378	0	0	0	0.9933	0	adipose	adipose	adipose	adipose
ANKRD55	70_3	rs9687832	chr5:55861595	chr5:55861786	0.18782	0	0	0.2574	0.7365	0	adipose	adipose	adipose	unclassified
ANKRD55	70_4	rs96844	chr5:56196604	chr5:56196604	0.18014	0	0.2602	0.2298	0.21	0.2217	shared	shared	unclassified	unclassified
PIK3R1	234_1	rs4976033	chr5:67714246	chr5:67714246	0.51377	0	0.023	0.3331	0.3623	0.2712	shared	shared	unclassified	unclassified
POC5	71_1	rs2307111	chr5:75003678	chr5:75003678	0.62752	1	0.2835	0.1853	0.2642	0.2547	shared	shared	unclassified	unclassified
ZBED3	72_1	rs4457053	chr5:76424949	chr5:76424949	0.31263	0	0.3469	0.2038	0.2165	0.2327	islet	islet	unclassified	unclassified
DMGDH	73_1	rs1316776	chr5:78430607	chr5:78430607	0.057422	0	0.6927	0.0155	0.0062	0.1104	islet	islet	islet	unclassified
RASA1	74_1	rs7719891	chr5:86577352	chr5:86577352	0.42365	0	0.1478	0.1135	0.1231	0.1072	shared	unclassified	unclassified	unclassified
SLCO6A1	75_1	rs138337556	chr5:101232944	chr5:101714634	0.63064	NA	0	0	0	0	unclassified	unclassified	unclassified	unclassified
PAM	76_1	rs115505614	chr5:102422968	chr5:102422968	0.46018	0	0.2853	0.2725	0.2785	0.1341	shared	shared	unclassified	unclassified
PAM	76_2	rs78408340	chr5:102338739	chr5:102338739	1	1	0.4213	0.1911	0.382	0.0056	shared	shared	unclassified	unclassified
PHF15	77_2	rs244665	chr5:133414622	chr5:133414622	0.1926	0	0.2557	0.3917	0.2611	0.0496	muscle	muscle	unclassified	unclassified
PHF15	77_1	rs329122	chr5:133864599	chr5:133864599	0.39585	0	0.3207	0.2385	0.1874	0.2462	shared	shared	unclassified	unclassified
EBF1	235_1	rs3934712	chr5:157928196	chr5:157938824	0.028501	0	2e-04	0.0568	0.7786	0.0239	adipose	adipose	adipose	unclassified
RREB1	78_2	rs112498319	chr6:7035734	chr6:7035734	0.19443	0	0.1178	0.3087	0.3863	0.17	shared	shared	unclassified	unclassified
RREB1	78_3	rs9505097	chr6:7255650	chr6:7255650	0.18403	0	0.273	0.1898	0.3065	0.2241	shared	shared	unclassified	unclassified
RREB1	78_1	rs9379084	chr6:7231843	chr6:7231843	0.99266	1	0.3069	0.2197	0.267	0.199	shared	shared	unclassified	unclassified
CDKAL1	79_1	rs7756992	chr6:20679709	chr6:20679709	0.92938	0	0.3304	0.2453	0.1817	0.2397	shared	shared	unclassified	unclassified
HMGA1	236_2	rs2233632	chr6:34524698	chr6:34524698	0.33308	0	0.8303	0.0344	0.0387	0.0461	islet	islet	islet	islet
HMGA1	236_1	rs77136196	chr6:34247047	chr6:34247047	0.098044	0	0.323	0.1463	0.1178	0.0976	islet	islet	unclassified	unclassified
LRFN2	81_1	rs34298980	chr6:40409243	chr6:40409243	0.99055	0	0.9906	0	0	0	islet	islet	islet	islet
VEGFA	82_2	rs11967262	chr6:43760327	chr6:43760327	0.63387	0	0.28	0.1491	0.414	0.1558	adipose	adipose	unclassified	unclassified
VEGFA	82_1	rs6458354	chr6:43814190	chr6:43814190	0.11757	0	0.5253	0.0742	0.1568	0.2346	islet	islet	islet	unclassified
TFAP2B	83_2	rs2465043	chr6:51180765	chr6:51180765	0.1303	0	0.0015	0.0014	2e-04	0.2788	liver	liver	unclassified	unclassified
TFAP2B	83_1	rs3798519	chr6:50788778	chr6:50816887	0.27769	0	0.0028	0.0215	0	0.0019	shared	unclassified	unclassified	unclassified
BEND3	85_1	rs4946812	chr6:107431688	chr6:107431688	0.10087	0	0.375	0.2746	0.1481	0.2006	islet	islet	unclassified	unclassified
CENPW	86_1	rs11759026	chr6:126792095	chr6:126792095	0.98625	0	0	0	0	0	unclassified	unclassified	unclassified	unclassified
SOGA3	87_1	rs2800733	chr6:127416930	chr6:127416930	0.072506	0	0	0	0.7993	0	adipose	adipose	adipose	unclassified
SLC35D3	88_1	rs9494624	chr6:137300960	chr6:137302159	0.14477	NA	0.9916	0	0	0	islet	islet	islet	islet
MIR3668	237_2	rs616279	chr6:140249466	chr6:140249466	0.11392	0	0.4105	0.3173	0.2526	0.0076	shared	shared	unclassified	unclassified
MIR3668	237_1	rs2982521	chr6:139835329	chr6:139835329	0.21625	0	0	0.4705	0.4768	0.0439	shared	shared	unclassified	unclassified
SLC22A3	89_1	rs474513	chr6:160770312	chr6:160770312	0.062842	0	0.0285	0.1938	0.3376	0.4311	shared	shared	unclassified	unclassified
QKI	90_1	rs4709746	chr6:164133001	chr6:164133001	0.37112	0	0	0.4756	0.4885	0.0328	shared	shared	unclassified	unclassified
DGKB	91_3	rs2908334	chr7:15206239	chr7:15206239	0.090532	0	0.014	0.0041	0.0014	0.6718	liver	liver	liver	unclassified
DGKB	91_2	rs17168486	chr7:14898282	chr7:14898282	0.57723	0	0	0.0409	0	0	shared	unclassified	unclassified	unclassified
DGKB	91_1	rs10228066	chr7:15063569	chr7:15063569	0.10489	0	0	0	0	0	unclassified	unclassified	unclassified	unclassified
IGF2BP3	92_2	rs78840640	chr7:23434606	chr7:23434606	0.32959	0	0.517	0.0209	0.0289	0.0642	islet	islet	islet	unclassified
IGF2BP3	92_1	rs4279506	chr7:23512896	chr7:23512896	0.52099	0	0.0063	0.0072	0.0088	0.0177	shared	unclassified	unclassified	unclassified
JAZF1	93_1	rs1708302	chr7:28198677	chr7:28198677	0.37109	0	0.3653	0.3116	0.2208	0.0973	shared	shared	unclassified	unclassified
CRHR2	94_1	rs917195	chr7:30728452	chr7:30728452	0.96192	1	0.3648	0.2215	0.3703	0.0261	shared	shared	unclassified	unclassified
GCK	95_2	rs116913033	chr7:44365549	chr7:44365549	0.076643	0	0.3747	0.2803	0.1276	0.203	shared	shared	unclassified	unclassified
GCK	95_1	rs878521	chr7:44255643	chr7:44255643	0.9844	0	0.3583	0.1916	0.1916	0.256	islet	islet	unclassified	unclassified
FBXL13	96_2	rs56376556	chr7:102038318	chr7:102038318	0.30141	0	0.2537	0.2691	0.2667	0.1931	shared	shared	unclassified	unclassified
FBXL13	96_1	rs11496066	chr7:102486254	chr7:102486254	0.088009	0	0.3591	0.1698	0.2489	0.1922	islet	islet	unclassified	unclassified
RELN	97_2	rs62482405	chr7:102987583	chr7:102615612	0.060202	0	0.1528	0.2137	0.1823	0.1628	shared	shared	unclassified	unclassified
RELN	97_1	rs39328	chr7:103444978	chr7:103444978	0.14387	0	0.0027	0.0015	0.0014	0.0027	shared	unclassified	unclassified	unclassified
CTTNBP2	98_1	rs6976111	chr7:117495667	chr7:117495667	0.65524	0	0.6068	0.002	0.3322	5e-04	islet	islet	islet	unclassified
KLF14	99_2	rs2268382	chr7:130027037	chr7:130027037	0.096733	0	0.4449	0.1897	0.2701	0.0515	islet	islet	unclassified	unclassified
KLF14	99_1	rs1562396	chr7:130457914	chr7:130457914	0.2088	0	0	0	0.0276	0	shared	unclassified	unclassified	unclassified
AOC1	100_1	rs62492368	chr7:150537635	chr7:150537635	0.75399	0	0.0523	0.0089	0.0088	0.9202	liver	liver	liver	liver
MNX1	101_1	rs6459733	chr7:156930550	chr7:156930550	0.046133	0	0.3053	0.2354	0.2264	0.2265	shared	shared	unclassified	unclassified
MSRA	102_1	rs17689007	chr8:9974824	chr8:9974824	0.24707	0	0.7767	0.0261	0.0714	0.1167	islet	islet	islet	unclassified
XKR6	103_1	rs57327348	chr8:10808687	chr8:10903475	0.12642	0	0.2081	0.0015	0.0044	0.0465	islet	islet	unclassified	unclassified
LPL	104_1	rs10096633	chr8:19830921	chr8:19830921	0.26674	0	0	0.0185	0.3184	0	adipose	adipose	unclassified	unclassified
PURG	105_1	rs10954772	chr8:30863938	chr8:30863938	0.55114	0	0	0	0	0	unclassified	unclassified	unclassified	unclassified
ANK1	106_2	rs4736819	chr8:41509915	chr8:41509915	0.2444	0	0.3831	0.2317	0.154	0.1948	islet	islet	unclassified	unclassified
ANK1	106_3	rs148766658	chr8:41552046	chr8:41552046	0.25034	0	0.0498	0.8788	0.0155	0.01	muscle	muscle	muscle	muscle
ANK1	106_1	rs13262861	chr8:41508577	chr8:41508577	0.97279	0	0.9757	0.0119	0.003	0	islet	islet	islet	islet
TP53INP1	107_2	rs11786992	chr8:95685147	chr8:95685147	0.19751	0	0.6118	0.0957	0.0763	0.1053	islet	islet	islet	unclassified
TP53INP1	107_3	rs187936726	chr8:96092422	chr8:96092422	0.43146	0	0.3428	0.0869	0.1926	0.2752	shared	shared	unclassified	unclassified
TP53INP1	107_1	rs10097617	chr8:95961626	chr8:95961626	0.19771	0	0.3319	0.232	0.1976	0.2303	shared	shared	unclassified	unclassified
CPQ	108_1	rs149364428	chr8:97737741	chr8:97737741	0.86675	0	0.4059	0	0.2336	0.359	shared	shared	unclassified	unclassified
TRHR	109_1	rs12680028	chr8:110123183	chr8:110123183	0.054988	0	0	0	0.033	0	shared	unclassified	unclassified	unclassified
SLC30A8	110_2	rs80244329	chr8:118404672	chr8:118404672	0.49873	0	0.1391	0.0061	0.0085	0.0049	islet	unclassified	unclassified	unclassified
SLC30A8	110_1	rs3802177	chr8:118185025	chr8:118185025	0.56993	0	0.9946	0	0	0	islet	islet	islet	islet
CASC11	111_1	rs17772814	chr8:128711742	chr8:128711742	0.99941	0	0	0	0	0	unclassified	unclassified	unclassified	unclassified
PVT1	112_1	rs1561927	chr8:129568078	chr8:129568078	0.087856	0	0.7693	0.0042	0.0031	0.1913	islet	islet	islet	unclassified
BOP1	113_1	rs4977213	chr8:145507304	chr8:145507304	0.15679	0	0.1066	0.3281	0.279	0.2767	shared	shared	unclassified	unclassified
BOP1	113_2	rs12719778	chr8:145879883	chr8:145879883	0.17468	0	0.3224	0.1339	0.1941	0.1256	islet	islet	unclassified	unclassified
GLIS3	114_3	rs510807	chr9:3965689	chr9:3965689	0.436	0	0.5682	0.0363	0.2228	0.1501	islet	islet	islet	unclassified
GLIS3	114_2	rs79103584	chr9:4243045	chr9:4243045	0.12192	0	0.5262	0.0251	0.0691	0.3669	islet	islet	islet	unclassified
GLIS3	114_1	rs10974438	chr9:4291928	chr9:4291928	0.97343	0	0.5904	0.2033	0.0058	0.1988	islet	islet	islet	unclassified
HAUS6	115_1	rs7022807	chr9:19067833	chr9:19067833	0.077856	0	0.2071	0.1974	0.2579	0.2312	shared	shared	unclassified	unclassified
FOCAD	116_1	rs7867635	chr9:20241069	chr9:20241069	0.65333	0	0.0019	0.0013	0.0031	0.0193	shared	unclassified	unclassified	unclassified
FOCAD	116_2	rs7847880	chr9:20662703	chr9:20662703	0.21564	0	0.4048	0.1603	0.256	0.1069	islet	islet	unclassified	unclassified
CDKN2A-B	117_3	rs76011118	chr9:22133773	chr9:22133773	0.94911	0	0.9563	0.0067	0.0149	0.0016	islet	islet	islet	islet
CDKN2A-B	117_5	rs1333052	chr9:22157908	chr9:22157908	0.19134	0	0.2853	0.1429	0.1629	0.0045	islet	islet	unclassified	unclassified
CDKN2A-B	117_6	rs1575972	chr9:22301092	chr9:22301092	0.18615	0	0.6308	0.0017	0.0833	0.0092	islet	islet	islet	unclassified
CDKN2A-B	117_2	rs1412830	chr9:22043612	chr9:22043612	0.075082	0	0.1724	0.2576	0.2964	0.0031	shared	shared	unclassified	unclassified
CDKN2A-B	117_1	rs10811660	chr9:22134068	chr9:22134068	0.47185	0	0.9999	0	0	0	islet	islet	islet	islet
CDKN2A-B	117_4	rs10757283	chr9:22134172	chr9:22134172	0.49791	0	1	0	0	0	islet	islet	islet	islet
LINGO2	118_1	rs1412234	chr9:28410683	chr9:28410683	0.39963	0	0	0	0	0	unclassified	unclassified	unclassified	unclassified
UBAP2	119_1	rs12001437	chr9:34074476	chr9:34074476	0.91738	0	0.342	0.2481	0.1546	0.2351	shared	shared	unclassified	unclassified
MTND2P8	120_1	rs11137820	chr9:81359113	chr9:81359113	0.25177	0	0.3607	0	0	0	islet	islet	unclassified	unclassified
TLE4	121_1	rs17791513	chr9:81905590	chr9:81905590	0.70946	0	0	0	0	0	unclassified	unclassified	unclassified	unclassified
TLE1	122_1	rs2796441	chr9:84308948	chr9:84308948	0.82394	0	0.5959	0	0.404	0	islet	islet	islet	unclassified
ZNF169	123_1	rs55653563	chr9:97001682	chr9:97001682	0.28301	0	0.0245	0.0182	0.1914	0.0216	adipose	unclassified	unclassified	unclassified
